just_date,Count,TMAX
2017-09-06,17,70
2017-09-07,12,77
2017-09-08,15,85
2017-09-11,21,79
2017-09-16,15,91
2017-09-17,28,82
2017-09-18,8,85
2017-09-19,28,89
2013-11-06,7,60
2016-11-07,18,72
2009-01-01,26,43
2017-04-28,15,60
2017-05-05,9,69
2005-05-15,1,
2017-06-04,19,88
2017-06-10,25,89
2017-06-15,9,90
2017-06-17,21,90
2017-06-18,20,84
2017-06-19,22,88
2017-06-22,15,87
2017-06-24,18,81
2017-06-28,8,90
2017-06-30,17,87
2017-07-04,30,87
2017-07-07,8,97
2017-07-10,21,100
2017-07-15,18,89
2017-07-17,17,92
2017-07-19,25,102
2017-07-27,18,88
2017-07-28,15,88
2016-07-29,19,88
2017-07-29,24,84
2017-07-30,22,85
2017-07-31,14,87
2017-08-02,18,90
2017-08-03,18,94
2017-08-04,20,79
2017-08-05,22,79
2017-08-06,21,73
2017-08-08,29,82
2017-08-09,27,85
2017-08-10,12,91
2017-08-12,23,81
2017-08-14,18,84
2017-08-15,27,91
2017-08-17,16,88
2017-08-18,20,91
2017-08-19,26,92
2017-08-20,8,93
2017-08-24,14,81
2015-10-10,27,71
2016-12-02,6,49
1992-04-01,1,
2017-04-08,25,79
2017-04-09,22,84
2017-04-18,17,79
2017-04-21,17,58
2013-05-12,17,63
2017-05-19,14,85
2017-05-29,36,88
2017-06-05,8,92
2017-06-14,12,93
2017-06-23,12,88
2017-06-27,16,83
2017-06-29,14,93
2017-07-02,17,93
2017-07-03,23,94
2017-07-05,29,88
2017-07-06,7,92
2017-07-08,18,93
2017-07-09,22,97
2017-07-11,31,101
2017-07-12,21,103
2017-07-13,20,97
2017-07-14,18,92
2017-07-16,21,97
2008-07-20,26,99
2017-07-22,23,108
2017-07-23,18,94
2017-07-24,12,91
2017-07-25,9,93
2017-07-26,18,98
2016-08-25,19,94
2016-09-12,27,83
2010-10-01,20,75
2007-01-01,9,
2016-01-01,26,42
2017-02-18,26,63
2017-02-21,12,67
2017-02-26,11,50
2011-04-02,17,68
2017-04-30,24,74
2016-05-01,22,73
2017-05-03,8,59
2017-05-04,13,54
2017-05-12,13,74
2016-05-15,24,66
2017-05-15,19,90
2017-05-17,32,84
2017-05-21,36,73
2017-05-22,20,79
2017-05-24,22,71
2017-05-25,15,78
2017-05-27,20,84
2017-05-30,13,83
2017-06-02,22,92
2017-06-03,22,92
2017-06-06,15,82
2017-06-08,17,83
2017-06-09,6,88
2017-06-11,19,93
2017-06-12,21,95
2017-06-20,19,92
2017-06-25,19,85
2015-08-01,20,92
2016-08-30,22,93
2001-11-10,1,
2017-05-13,18,82
2016-04-01,15,57
2017-05-09,15,88
2016-05-08,18,77
2017-05-11,18,74
2010-10-15,20,71
2017-05-14,21,86
2017-04-05,10,63
2017-05-01,24,58
2017-05-23,19,73
2017-05-02,6,71
2017-04-29,17,74
2017-05-16,29,90
2017-05-06,27,70
2015-01-01,40,41
2017-05-07,24,77
2017-03-25,16,67
2017-05-18,7,91
2016-12-01,15,47
2016-09-15,19,88
2017-05-28,9,82
2017-05-08,18,84
2017-04-07,12,63
2017-05-31,21,84
2017-04-02,20,69
1900-01-01,1,
